date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:06	65799/65799	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2008:20:20%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/process-img.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/process-img.png	(from https://incampus.in/)
20:18:06	50407/50407	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2008:19:58%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/process-bg.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/process-bg.png	(from https://incampus.in/)
20:18:07	1738/1738	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Sep%202019%2006:56:24%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/project.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/project.png	(from https://incampus.in/)
20:18:07	1958/1958	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202019%2004:44:47%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/adobe.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/adobe.png	(from https://incampus.in/)
20:18:07	1637/1637	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Sep%202019%2006:54:15%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/locked.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/locked.png	(from https://incampus.in/)
20:18:08	31292/31292	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2008:21:42%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/service-img.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/service-img.png	(from https://incampus.in/)
20:18:08	99875/99875	---M--	200	added ('OK')	image/png	etag:%225f4a6ac2-18623%22	https://incampus.in/brand1.PNG	E:/My%20Web%20Sites/incampus/incampus.in/brand1.png	(from https://incampus.in/)
20:18:08	12092/12092	---M--	200	added ('OK')	image/png	etag:%225f4a6ac2-2f3c%22	https://incampus.in/brand2.png	E:/My%20Web%20Sites/incampus/incampus.in/brand2.png	(from https://incampus.in/)
20:18:08	17990/17990	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2008:24:04%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/partner-bg.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/partner-bg.png	(from https://incampus.in/)
20:18:08	372686/372686	---M--	200	added ('OK')	image/jpeg	etag:%225f4a6ac2-5afce%22	https://incampus.in/review1.jpeg	E:/My%20Web%20Sites/incampus/incampus.in/review1.jpg	(from https://incampus.in/)
20:18:09	1401/1401	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/img/rating.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/img/rating.png	(from https://incampus.in/)
20:18:09	952983/952983	---M--	200	added ('OK')	image/jpeg	etag:%225f4a6ac2-e8a97%22	https://incampus.in/review2.jpg	E:/My%20Web%20Sites/incampus/incampus.in/review2.jpg	(from https://incampus.in/)
20:18:09	38209/38209	---M--	200	added ('OK')	image/jpeg	etag:%225f4a6ac2-9541%22	https://incampus.in/review4.jpg	E:/My%20Web%20Sites/incampus/incampus.in/review4.jpg	(from https://incampus.in/)
20:18:10	74851/74851	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2008:25:34%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/testi-img.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/testi-img.png	(from https://incampus.in/)
20:18:10	115674/115674	---M--	200	added ('OK')	image/png	etag:%225f4a6ac2-1c3da%22	https://incampus.in/assets/img/logo.png	E:/My%20Web%20Sites/incampus/incampus.in/assets/img/logo.png	(from https://incampus.in/)
20:18:11	38106/38106	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202019%2012:00:16%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/footer-image.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/footer-image.png	(from https://incampus.in/)
20:18:11	14105/14105	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2028%20Jul%202020%2003:56:28%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.7	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/plugins/contact-form-7/includes/js/scripts6725.js	(from https://incampus.in/)
20:18:12	2967/2967	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/js/navigation.js?ver=20151215	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/js/navigation4a7d.js	(from https://incampus.in/)
20:18:12	685/685	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/js/skip-link-focus-fix.js?ver=20151215	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/js/skip-link-focus-fix4a7d.js	(from https://incampus.in/)
20:18:13	3730/3730	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/custom.js?ver=1.0.0	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/custom8a54.js	(from https://incampus.in/)
20:18:13	1434/1434	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2003:22:01%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-includes/js/wp-embed.min.js?ver=5.4.2	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-includes/js/wp-embed.min7661.js	(from https://incampus.in/)
20:18:14	24927/24927	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202020%2014:48:18%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/plugins/mailchimp-for-wp/assets/js/forms-api.min.js?ver=4.5.5	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/plugins/mailchimp-for-wp/assets/js/forms-api.min2cb6.js	(from https://incampus.in/)
20:18:15	847/847	---M--	200	added ('OK')	image/gif	date:Tue,%2028%20Jul%202020%2003:56:28%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/plugins/contact-form-7/images/ajax-loader.gif	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from https://demo.aarambhathemes.com/buzz-agency/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.7)
20:18:16	24927/24927	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202020%2014:48:20%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/owl.video.play.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/owl.video.play.png	(from https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/css/owl.carousel.min.css?ver=v2.3.4)
20:18:17	24927/24927	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Sep%202020%2014:48:21%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/img/search-icon.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/img/search-icon.png	(from https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/style.css?ver=5.4.2)
20:18:18	4699/4699	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/img/xsearch-icon1-01-min.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/img/xsearch-icon1-01-min.png	(from https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/style.css?ver=5.4.2)
